author,name,rank,date
Akon Featuring Eminem,Smack That,15,2007
Mims,This Is Why I'm Hot,16,2007
Daughtry,It's Not Over,17,2007
Timbaland Featuring Keri Hilson,The Way I Are,18,2007
Fergie,Fergalicious,19,2007
Soulja Boy Tell'em,Crank That (Soulja Boy),20,2007
Timbaland Featuring Nelly Furtado & Justin Timberlake,Give It To Me,21,2007
Justin Timberlake,What Goes Around...Comes Around,22,2007
Gym Class Heroes Featuring Patrick Stump,Cupid's Chokehold/Breakfast In America,23,2007
The Fray,How To Save A Life,24,2007
Daughtry,Home,25,2007
Justin Timberlake Featuring T.I.,My Love,26,2007
Kanye West,Stronger,27,2007
Jim Jones,We Fly High,28,2007
P!nk,U + Ur Hand,29,2007
Unk,Walk It Out,30,2007
Sean Kingston,Beautiful Girls,31,2007
Fall Out Boy,"This Ain't A Scene, It's An Arms Race",32,2007
T-Pain Featuring Akon,Bartender,33,2007
Huey,"Pop, Lock & Drop It",34,2007
Ludacris Featuring Mary J. Blige,Runaway Love,35,2007
Nickelback,Rockstar,36,2007
Fall Out Boy,Thnks Fr Th Mmrs,37,2007
Linkin Park,What I've Done,38,2007
Justin Timberlake,Summer Love,39,2007
Lloyd Featuring Lil Wayne,You,40,2007
Elliott Yamin,Wait For You,41,2007
Diddy Featuring Keyshia Cole,Last Night,42,2007
Fat Joe Featuring Lil Wayne,Make It Rain,43,2007
Fabolous Featuring Ne-Yo,Make Me Better,44,2007
Omarion,Ice Box,45,2007
Hinder,Lips Of An Angel,46,2007
John Mayer,Waiting On The World To Change,47,2007
Robin Thicke,Lost Without U,48,2007
R. Kelly Or Bow Wow (Featuring T.I. & T-Pain),I'm A Flirt,49,2007
Nickelback,If Everyone Cared,50,2007
Lloyd,Get It Shawty,51,2007
The Red Jumpsuit Apparatus,Face Down,52,2007
Baby Boy Da Prince Featuring Lil Boosie,The Way I Live,53,2007
Bow Wow Featuring Chris Brown & Johnta Austin,Shortie Like Mine,54,2007
The All-American Rejects,It Ends Tonight,55,2007
Hurricane Chris,A Bay Bay,56,2007
Ne-Yo,Because Of You,57,2007
Bone Thugs-N-Harmony Featuring Akon,I Tried,58,2007
My Chemical Romance,Welcome To The Black Parade,59,2007
Plies Featuring T-Pain,Shawty,60,2007
Snow Patrol,Chasing Cars,61,2007
Beyonce & Shakira,Beautiful Liar,62,2007
Justin Timberlake,SexyBack,63,2007
Avril Lavigne,Keep Holding On,64,2007
Keyshia Cole Featuring Missy Elliott & Lil Kim,Let It Go,65,2007
Timbaland Featuring OneRepublic,Apologize,66,2007
Colbie Caillat,Bubbly,67,2007
Ciara,Like A Boy,68,2007
P!nk,Who Knew,69,2007
Kelly Clarkson,Never Again,70,2007
Ciara,Promise,71,2007
J. Holiday,Bed,72,2007
Rich Boy Featuring Polow Da Don,Throw Some D's,73,2007
Amy Winehouse,Rehab,74,2007
T.I.,Big Things Poppin' (Do It),75,2007
Alicia Keys,No One,76,2007
Boys Like Girls,The Great Escape,77,2007
Unk,2 Step,78,2007
Paula DeAnda Featuring The DEY,Walk Away (Remember Me),79,2007
Young Jeezy Featuring R. Kelly,Go Getta,80,2007
Hellogoodbye,Here (In Your Arms),81,2007
Pretty Ricky,On The Hotline,82,2007
Gwen Stefani,Wind It Up,83,2007
Baby Bash Featuring T-Pain,Cyclone,84,2007
Rihanna & Sean Paul,Break It Off,85,2007
Lifehouse,First Time,86,2007
50 Cent Featuring Justin Timberlake & Timbaland,Ayo Technology,87,2007
Bow Wow Featuring T-Pain & Johnta Austin,Outta My System,88,2007
Taylor Swift,Teardrops On My Guitar,89,2007
Rihanna,Shut Up And Drive,90,2007
Red Hot Chili Peppers,Snow ((Hey Oh)),91,2007
Ludacris Featuring Pharrell,Money Maker,92,2007
Chris Brown Featuring T-Pain,Kiss Kiss,93,2007
Nickelback,Far Away,94,2007
Crime Mob Featuring Lil Scrappy,Rock Yo Hips,95,2007
Justin Timberlake,LoveStoned,96,2007
Hinder,Better Than Me,97,2007
Finger Eleven,Paralyzer,98,2007
Snoop Dogg Featuring R. Kelly,That's That,99,2007
R. Kelly Duet With Usher,Same Girl,100,2007
Flo Rida Featuring T-Pain,Low,1,2008
Leona Lewis,Bleeding Love,2,2008
Alicia Keys,No One,3,2008
Lil Wayne Featuring Static Major,Lollipop,4,2008
Timbaland Featuring OneRepublic,Apologize,5,2008
Jordin Sparks Duet With Chris Brown,No Air,6,2008
Sara Bareilles,Love Song,7,2008
Usher Featuring Young Jeezy,Love In This Club,8,2008
Chris Brown,With You,9,2008
Chris Brown,Forever,10,2008
Ray J & Yung Berg,Sexy Can I,11,2008
Rihanna,Take A Bow,12,2008
Coldplay,Viva La Vida,13,2008
Katy Perry,I Kissed A Girl,14,2008
T.I.,Whatever You Like,15,2008
Rihanna,Disturbia,16,2008
Rihanna,Don't Stop The Music,17,2008
Natasha Bedingfield,Pocketful Of Sunshine,18,2008
Chris Brown Featuring T-Pain,Kiss Kiss,19,2008
Ne-Yo,Closer,20,2008
Colbie Caillat,Bubbly,21,2008
Mariah Carey,Touch My Body,22,2008
Madonna Featuring Justin Timberlake & Timbaland,4 Minutes,23,2008
P!nk,So What,24,2008
Finger Eleven,Paralyzer,25,2008
Fergie,Clumsy,26,2008
Jason Mraz,I'm Yours,27,2008
Jesse McCartney,Leavin',28,2008
Kardinal Offishall Featuring Akon,Dangerous,29,2008
Jordin Sparks,Tattoo,30,2008
Miley Cyrus,See You Again,31,2008
Metro Station,Shake It,32,2008
OneRepublic,Stop And Stare,33,2008
Sean Kingston,Take You There,34,2008
M.I.A.,Paper Planes,35,2008
Katy Perry,Hot N Cold,36,2008
T.I. Featuring Rihanna,Live Your Life,37,2008
Plies Featuring Ne-Yo,Bust It Baby Part 2,38,2008
Estelle Featuring Kanye West,American Boy,39,2008
Lil Wayne Featuring T-Pain,Got Money,40,2008
Taylor Swift,Our Song,41,2008
Danity Kane,Damaged,42,2008
Lil Wayne,A Milli,43,2008
Buckcherry,Sorry,44,2008
Webbie Featuring Lil' Phat & Lil' Boosie,Independent,45,2008
T-Pain Featuring Lil Wayne,Can't Believe It,46,2008
Alicia Keys,Like You'll Never See Me Again,47,2008
Taylor Swift,Teardrops On My Guitar,48,2008
The Pussycat Dolls,When I Grow Up,49,2008
Snoop Dogg,Sensual Seduction,50,2008
Colby O'Donis Featuring Akon,What You Got,51,2008
3 Doors Down,It's Not My Time,52,2008
Leona Lewis,Better In Time,53,2008
Soulja Boy Tell'em,Crank That (Soulja Boy),54,2008
Linkin Park,Shadow Of The Day,55,2008
"Wyclef Jean Featuring Akon, Lil Wayne & Niia",Sweetest Girl (Dollar Bill),56,2008
Ne-Yo,Miss Independent,57,2008
Secondhand Serenade,Fall For You,58,2008
Flo Rida Featuring will.i.am,In The Ayer,59,2008
John Mayer,Say,60,2008
Jordin Sparks,One Step At A Time,61,2008
Rihanna Featuring Ne-Yo,Hate That I Love You,62,2008
Lupe Fiasco Featuring Matthew Santos,Superstar,63,2008
J. Holiday,Suffocate,64,2008
Kevin Rudolf Featuring Lil Wayne,Let It Rock,65,2008
David Banner Featuring Chris Brown,Get Like Me,66,2008
Colbie Caillat,Realize,67,2008
Young Jeezy Featuring Kanye West,Put On,68,2008
David Cook,The Time Of My Life,69,2008
"Three 6 Mafia Featuring Project Pat, Young D & Superpower",Lolli Lolli (Pop That Body),70,2008
Baby Bash Featuring T-Pain,Cyclone,71,2008
Natasha Bedingfield Featuring Sean Kingston,Love Like This,72,2008
Jonas Brothers,Burnin' Up,73,2008
Kanye West,Love Lockdown,74,2008
The-Dream,I Luv Your Girl,75,2008
David Archuleta,Crush,76,2008
Plies Featuring Akon,Hypnotized,77,2008
Fergie,Big Girls Don't Cry,78,2008
Kanye West Featuring T-Pain,Good Life,79,2008
Britney Spears,Womanizer,80,2008
Taylor Swift,Love Story,81,2008
Mary J. Blige,Just Fine,82,2008
Britney Spears,Piece Of Me,83,2008
Rick Ross Featuring T-Pain,The Boss,84,2008
Kid Rock,All Summer Long,85,2008
Trey Songz,Can't Help But Wait,86,2008
Gavin DeGraw,In Love With A Girl,87,2008
The Game Featuring Lil Wayne,My Life,88,2008
Keyshia Cole,I Remember,89,2008
Kanye West Featuring Dwele,Flashing Lights,90,2008
Lil Wayne Featuring Bobby Valentino & Kidd Kidd,Mrs. Officer,91,2008
Miley Cyrus,7 Things,92,2008
Trace Adkins,You're Gonna Miss This,93,2008
Gavin Rossdale,Love Remains The Same,94,2008
Daughtry,Feels Like Tonight,95,2008
Timbaland Featuring Keri Hilson,The Way I Are,96,2008
Saving Abel,Addicted,97,2008
Santana Featuring Chad Kroeger,Into The Night,98,2008
Keyshia Cole,Heaven Sent,99,2008
2 Pistols Featuring T-Pain & Tay Dizm,She Got It,100,2008
The Black Eyed Peas,Boom Boom Pow,1,2009
Lady Gaga,Poker Face,2,2009
Lady Gaga Featuring Colby O'Donis,Just Dance,3,2009
The Black Eyed Peas,I Gotta Feeling,4,2009
Taylor Swift,Love Story,5,2009
Flo Rida,Right Round,6,2009
Jason Mraz,I'm Yours,7,2009
Beyonce,Single Ladies (Put A Ring On It),8,2009
Kanye West,Heartless,9,2009
The All-American Rejects,Gives You Hell,10,2009
Taylor Swift,You Belong With Me,11,2009
T.I. Featuring Justin Timberlake,Dead And Gone,12,2009
The Fray,You Found Me,13,2009
Kings Of Leon,Use Somebody,14,2009
Keri Hilson Featuring Kanye West & Ne-Yo,Knock You Down,15,2009
Jamie Foxx Featuring T-Pain,Blame It,16,2009
Pitbull,I Know You Want Me (Calle Ocho),17,2009
T.I. Featuring Rihanna,Live Your Life,18,2009
Soulja Boy Tell 'em Featuring Sammie,Kiss Me Thru The Phone,19,2009
Jay Sean Featuring Lil Wayne,Down,20,2009
Miley Cyrus,The Climb,21,2009
Drake,Best I Ever Had,22,2009
Kelly Clarkson,My Life Would Suck Without You,23,2009
Beyonce,Halo,24,2009
Katy Perry,Hot N Cold,25,2009
Shinedown,Second Chance,26,2009
Britney Spears,Circus,27,2009
Kid Cudi,Day 'N' Nite,28,2009
Miley Cyrus,Party In The U.S.A.,29,2009
3OH!3,Don't Trust Me,30,2009
"Jay-Z, Rihanna & Kanye West",Run This Town,31,2009
Kevin Rudolf Featuring Lil Wayne,Let It Rock,32,2009
Sean Kingston,Fire Burning,33,2009
Jason Derulo,Whatcha Say,34,2009
Lady Gaga,LoveGame,35,2009
Katy Perry,Waking Up In Vegas,36,2009
Jeremih,Birthday Sex,37,2009
P!nk,Sober,38,2009
Britney Spears,Womanizer,39,2009
T.I.,Whatever You Like,40,2009
Mariah Carey,Obsessed,41,2009
Ne-Yo,Mad,42,2009
Cobra Starship Featuring Leighton Meester,Good Girls Go Bad,43,2009
Kanye West,Love Lockdown,44,2009
P!nk,So What,45,2009
Pitbull,Hotel Room Service,46,2009
"Eminem, Dr. Dre & 50 Cent",Crack A Bottle,47,2009
Beyonce,If I Were A Boy,48,2009
Keri Hilson Featuring Lil Wayne,Turnin Me On,49,2009
The Pussycat Dolls,I Hate This Part,50,2009
Nickelback,Gotta Be Somebody,51,2009
P!nk,Please Don't Leave Me,52,2009
Lady Gaga,Paparazzi,53,2009
Akon Featuring Colby O'Donis & Kardinal Offishall,Beautiful,54,2009
Coldplay,Viva La Vida,55,2009
Akon,Right Now (Na Na Na),56,2009
Jordin Sparks,Battlefield,57,2009
Flo Rida Featuring Wynter,Sugar,58,2009
Ne-Yo,Miss Independent,59,2009
Owl City,Fireflies,60,2009
Linkin Park,New Divide,61,2009
Jay-Z + Alicia Keys,Empire State Of Mind,62,2009
Daughtry,No Surprise,63,2009
Shakira,She Wolf,64,2009
Mario Featuring Gucci Mane & Sean Garrett,Break Up,65,2009
Beyonce,Sweet Dreams,66,2009
Young Money,Every Girl,67,2009
Colbie Caillat,Fallin' For You,68,2009
The Veronicas,Untouched,69,2009
Nickelback,If Today Was Your Last Day,70,2009
Fabolous Featuring The-Dream,Throw It In The Bag,71,2009
Boys Like Girls,Love Drunk,72,2009
Asher Roth,I Love College,73,2009
Britney Spears,If U Seek Amy,74,2009
Jason Aldean,Big Green Tractor,75,2009
Taylor Swift,White Horse,76,2009
Rihanna,Disturbia,77,2009
Green Day,21 Guns,78,2009
Soulja Boy Tell'em,Turn My Swag On,79,2009
The-Dream,Rockin' That Thang,80,2009
Zac Brown Band,Chicken Fried,81,2009
Beyonce,Diva,82,2009
Iyaz,Replay,83,2009
Brad Paisley,Then,84,2009
Rob Thomas,Her Diamonds,85,2009
Jesse McCartney Featuring Ludacris,How Do You Sleep?,86,2009
Britney Spears,3,87,2009
"Drake Featuring Kanye West, Lil Wayne & Eminem",Forever,88,2009
Justin Bieber,One Time,89,2009
Lady Antebellum,I Run To You,90,2009
Kelly Clarkson,I Do Not Hook Up,91,2009
John Legend Featuring Andre 3000,Green Light,92,2009
Billy Currington,People Are Crazy,93,2009
Zac Brown Band,Whatever It Is,94,2009
Kelly Clarkson,Already Gone,95,2009
Kristinia DeBarge,Goodbye,96,2009
Michael Franti & Spearhead Featuring Cherine Anderson,Say Hey (I Love You),97,2009
Jim Jones & Ron Browz Featuring Juelz Santana,Pop Champagne,98,2009
Maxwell,Pretty Wings,99,2009
The Fray,Never Say Never,100,2009
Ke$ha,TiK ToK,1,2010
Lady Antebellum,Need You Now,2,2010
Train,"Hey, Soul Sister",3,2010
Katy Perry Featuring Snoop Dogg,California Gurls,4,2010
Usher Featuring will.i.am,OMG,5,2010
B.o.B Featuring Hayley Williams,Airplanes,6,2010
Eminem Featuring Rihanna,Love The Way You Lie,7,2010
Lady Gaga,Bad Romance,8,2010
Taio Cruz,Dynamite,9,2010
Taio Cruz Featuring Ludacris,Break Your Heart,10,2010
B.o.B Featuring Bruno Mars,Nothin' On You,11,2010
Enrique Iglesias Featuring Pitbull,I Like It,12,2010
Young Money Featuring Lloyd,BedRock,13,2010
Jason Derulo,In My Head,14,2010
Rihanna,Rude Boy,15,2010
Lady Gaga Featuring Beyonce,Telephone,16,2010
Katy Perry,Teenage Dream,17,2010
Bruno Mars,Just The Way You Are,18,2010
Mike Posner,Cooler Than Me,19,2010
The Black Eyed Peas,Imma Be,20,2010
Jay-Z + Alicia Keys,Empire State Of Mind,21,2010
Usher Featuring Pitbull,DJ Got Us Fallin' In Love,22,2010
Travie McCoy Featuring Bruno Mars,Billionaire,23,2010
Eminem,Not Afraid,24,2010
Iyaz,Replay,25,2010
David Guetta Featuring Akon,Sexy Chick,26,2010
The Script,Breakeven,27,2010
Ke$ha,Your Love Is My Drug,28,2010
The Black Eyed Peas,I Gotta Feeling,29,2010
Owl City,Fireflies,30,2010
Trey Songz Featuring Fabolous,Say Aah,31,2010
Drake,Find Your Love,32,2010
Lady Gaga,Alejandro,33,2010
Jason Derulo,Ridin' Solo,34,2010
Nelly,Just A Dream,35,2010
Ludacris,How Low,36,2010
Far*East Movement Featuring Cataracs & Dev,Like A G6,37,2010
Timbaland Featuring Justin Timberlake,Carry Out,38,2010
Michael Buble,Haven't Met You Yet,39,2010
Flo Rida Featuring David Guetta,Club Can't Handle Me,40,2010
Jay Sean Featuring Lil Wayne,Down,41,2010
La Roux,Bulletproof,42,2010
Jason Derulo,Whatcha Say,43,2010
Justin Bieber Featuring Ludacris,Baby,44,2010
Adam Lambert,Whataya Want From Me,45,2010
Taylor Swift,Mine,46,2010
Rihanna,Only Girl (In The World),47,2010
Kris Allen,Live Like We're Dying,48,2010
Rihanna Featuring Jeezy,Hard,49,2010
Jay-Z + Mr. Hudson,Young Forever,50,2010
Ke$ha Featuring 3OH!3,Blah Blah Blah,51,2010
Trey Songz Featuring Nicki Minaj,Bottoms Up,52,2010
Jay Sean Featuring Sean Paul & Lil Jon,Do You Remember,53,2010
OneRepublic,All The Right Moves,54,2010
Orianthi,According To You,55,2010
Ludacris Featuring Nicki Minaj,My Chick Bad,56,2010
Taylor Swift,You Belong With Me,57,2010
The Black Eyed Peas,Meet Me Halfway,58,2010
Ke$ha,Take It Off,59,2010
Drake,Over,60,2010
Neon Trees,Animal,61,2010
Maroon 5,Misery,62,2010
B.o.B Featuring Rivers Cuomo,Magic,63,2010
Lady Gaga,Paparazzi,64,2010
New Boyz Featuring Ray J,Tie Me Down,65,2010
Nicki Minaj,Your Love,66,2010
Miley Cyrus,Party In The U.S.A.,67,2010
Chris Brown Featuring Tyga & Kevin McCall,Deuces,68,2010
Britney Spears,3,69,2010
Shontelle,Impossible,70,2010
"Drake Featuring Kanye West, Lil Wayne & Eminem",Forever,71,2010
Boys Like Girls Featuring Taylor Swift,Two Is Better Than One,72,2010
3OH!3 Featuring Ke$ha,My First Kiss,73,2010
Kelly Clarkson,Already Gone,74,2010
The Black Eyed Peas,Rock That Body,75,2010
OneRepublic,Secrets,76,2010
Selena Gomez & The Scene,Naturally,77,2010
Alicia Keys,Un-Thinkable (I'm Ready),78,2010
"DJ Khaled Featuring T-Pain, Ludacris, Snoop Dogg & Rick Ross",All I Do Is Win,79,2010
"Kevin Rudolf Featuring Birdman, Jay Sean, & Lil Wayne",I Made It (Cash Money Heroes),80,2010
Sugarland,Stuck Like Glue,81,2010
Usher Featuring Plies,Hey Daddy (Daddy's Home),82,2010
Usher,There Goes My Baby,83,2010
Taylor Swift,Today Was A Fairytale,84,2010
Timbaland Featuring Drake,Say Something,85,2010
Beyonce,Sweet Dreams,86,2010
Kings Of Leon,Use Somebody,87,2010
Carrie Underwood,Undo It,88,2010
Sean Kingston & Justin Bieber,Eenie Meenie,89,2010
Lil Wayne Featuring Drake,Right Above It,90,2010
Miranda Lambert,The House That Built Me,91,2010
The Band Perry,If I Die Young,92,2010
Paramore,The Only Exception,93,2010
Lady Antebellum,American Honey,94,2010
Sara Bareilles,King Of Anything,95,2010
Daughtry,Life After You,96,2010
Uncle Kracker,Smile,97,2010
Cali Swag District,Teach Me How To Dougie,98,2010
Alicia Keys,Try Sleeping With A Broken Heart,99,2010
Jerrod Niemann,"Lover, Lover",100,2010
Adele,Rolling In The Deep,1,2011
LMFAO Featuring Lauren Bennett & GoonRock,Party Rock Anthem,2,2011
Katy Perry,Firework,3,2011
Katy Perry Featuring Kanye West,E.T.,4,2011
"Pitbull Featuring Ne-Yo, Afrojack & Nayer",Give Me Everything,5,2011
Bruno Mars,Grenade,6,2011
Nicki Minaj,Super Bass,8,2011
Maroon 5 Featuring Christina Aguilera,Moves Like Jagger,9,2011
The Black Eyed Peas,Just Can't Get Enough,10,2011
Jennifer Lopez Featuring Pitbull,On The Floor,11,2011
Rihanna,S&M,12,2011
Foster The People,Pumped Up Kicks,13,2011
Katy Perry,Last Friday Night (T.G.I.F.),14,2011
Bruno Mars,Just The Way You Are,15,2011
Enrique Iglesias Featuring Ludacris & DJ Frank E,Tonight (I'm Lovin' You),16,2011
P!nk,Raise Your Glass,17,2011
Lady Gaga,Born This Way,18,2011
P!nk,F**kin' Perfect,19,2011
Rihanna Featuring Drake,What's My Name?,20,2011
Chris Brown Featuring Lil Wayne & Busta Rhymes,Look At Me Now,21,2011
Jeremih Featuring 50 Cent,Down On Me,22,2011
Lil Wayne,How To Love,23,2011
Adele,Someone Like You,24,2011
OneRepublic,The Good Life,25,2011
Bruno Mars,The Lazy Song,26,2011
Britney Spears,Till The World Ends,27,2011
Lupe Fiasco,The Show Goes On,28,2011
Lady Gaga,The Edge Of Glory,29,2011
Ke$ha,We R Who We R,30,2011
Wiz Khalifa,Black And Yellow,31,2011
Hot Chelle Rae,Tonight Tonight,32,2011
Ke$ha,Blow,33,2011
Bad Meets Evil Featuring Bruno Mars,Lighters,34,2011
The Band Perry,If I Die Young,35,2011
Gym Class Heroes Featuring Adam Levine,Stereo Hearts,36,2011
The Black Eyed Peas,The Time (Dirty Bit),37,2011
Diddy - Dirty Money Featuring Skylar Grey,Coming Home,38,2011
Pitbull Featuring T-Pain,Hey Baby (Drop It To The Floor),39,2011
Rihanna,Only Girl (In The World),40,2011
Lil Wayne Featuring Cory Gunz,6 Foot 7 Foot,41,2011
Lady Antebellum,Just A Kiss,42,2011
Jason Aldean,Dirt Road Anthem,43,2011
Taio Cruz,Dynamite,44,2011
Waka Flocka Flame Featuring Roscoe Dash & Wale,No Hands,45,2011
Britney Spears,I Wanna Go,46,2011
"DJ Khaled Featuring Drake, Rick Ross & Lil Wayne",I'm On One,47,2011
Cobra Starship Featuring Sabi,You Make Me Feel...,48,2011
Chris Brown,Yeah 3X,49,2011
Nicki Minaj Featuring Drake,Moment 4 Life,50,2011
Dr. Dre Featuring Eminem & Skylar Grey,I Need A Doctor,51,2011
Nelly,Just A Dream,52,2011
Kelly Rowland Featuring Lil Wayne,Motivation,53,2011
Edward Maya & Vika Jigulina,Stereo Love,54,2011
Christina Perri,Jar Of Hearts,55,2011
Wiz Khalifa,Roll Up,56,2011
LMFAO,Sexy And I Know It,57,2011
Far*East Movement Featuring Ryan Tedder,Rocketeer,58,2011
Kanye West,All Of The Lights,59,2011
Britney Spears,Hold It Against Me,60,2011
Usher,More,61,2011
Avril Lavigne,What The Hell,62,2011
Tinie Tempah Featuring Eric Turner,Written In The Stars,63,2011
Trey Songz Featuring Nicki Minaj,Bottoms Up,64,2011
Usher Featuring Pitbull,DJ Got Us Fallin' In Love,65,2011
The Script,For The First Time,66,2011
Blake Shelton,Honey Bee,67,2011
Jason Aldean With Kelly Clarkson,Don't You Wanna Stay,68,2011
Rihanna Featuring Calvin Harris,We Found Love,69,2011
Keri Hilson,Pretty Girl Rock,70,2011
Lady Gaga,You And I,71,2011
Far*East Movement Featuring Cataracs & Dev,Like A G6,72,2011
David Guetta Featuring Usher,Without You,73,2011
Taylor Swift,Back To December,74,2011
Katy Perry,Teenage Dream,75,2011
Eli Young Band,Crazy Girl,76,2011
Rihanna,Cheers (Drink To That),77,2011
Selena Gomez & The Scene,Who Says,78,2011
Jake Owen,Barefoot Blue Jean Night,79,2011
Zac Brown Band Featuring Jimmy Buffett,Knee Deep,80,2011
Luke Bryan,Country Girl (Shake It For Me),81,2011
Brad Paisley Duet With Carrie Underwood,Remind Me,82,2011
Dev,In The Dark,83,2011
New Boyz Featuring The Cataracs & Dev,Backseat,84,2011
Drake,Headlines,85,2011
Beyonce,Best Thing I Never Had,86,2011
Jason Derulo,Don't Wanna Go Home,87,2011
